Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,15p,C_0805_2012Metric,122.35,-113.1,-90,top
C2,15p,C_0805_2012Metric,115.35,-113.1,-90,top
C3,33p,C_0805_2012Metric,123.35,-109.1,-90,top
C4,100nF,C_0603_1608Metric,128.01,-109.75,-90,top
C5,100nF,C_0603_1608Metric,126,-109.75,-90,top
C6,100nF,C_0603_1608Metric,111.475,-93.25,0,top
C7,100nF,C_0603_1608Metric,109.5,-84,-90,top
C8,100nF,C_0603_1608Metric,97.5,-100.25,90,top
C12,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,101.5,-95.75,0,top
C13,1u,C_0402_1005Metric,114.475,-94.75,-90,top
C14,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,101.5,-93.25,0,top
C15,8.2n,C_0402_1005Metric,96.75,-91.75,90,top
C16,1u,C_0402_1005Metric,114.475,-96.75,-90,top
C17,1n,C_0402_1005Metric,93,-91.75,90,top
C18,10p,C_0402_1005Metric,95.5,-91.75,-90,top
C19,10u,C_0603_1608Metric,97.25,-103,0,top
C20,1u,C_0402_1005Metric,113,-116,180,top
C21,33p,C_0805_2012Metric,114.35,-109.1,-90,top
C24,100nF,C_0603_1608Metric,109.375,-108.012249,90,top
C25,100nF,C_0603_1608Metric,111.125,-108.012249,90,top
C26,4.7u,C_0603_1608Metric,128.75,-105.75,-90,top
D1,B5819W,D_SOD-123,96.25,-83.75,-90,top
D2,RB056LAM-40TR,D_SMA,106,-95.75,90,top
D3,B5819W,D_SOD-123,94.25,-101,-90,top
J1,THD2528-11SD-GF,THD252811SDGF,122.15,-73.25,90,top
J2,Conn_01x02,XT30PWM,101.25,-68,0,top
J3,Conn_Coaxial,SMA_Amphenol_132291_Vertical,125.46,-87.54,0,top
J4,USB_B_Micro,USB_Micro-B_Molex-105017-0001,93.75,-110.5,-90,top
J5,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,103.75,-115.38,0,top
J6,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,92.67,-122,90,top
J7,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,92.67,-119,90,top
L1,IHLP2020CZER100M01,IHLP2020CZER100M01,101.5,-101.25,-90,top
Q1,Si2301-TP,SOT-23,93.25,-83.25,90,top
Q2,AO3401A,SOT-23,100.25,-89,-90,top
R1,56k,R_0402_1005Metric,100.25,-85.25,-90,top
R2,100k,R_0402_1005Metric,93,-85.75,0,top
R3,30k,R_0402_1005Metric,99,-82.75,90,top
R4,10k,R_0402_1005Metric,100.25,-82.75,-90,top
R5,100k,R_0402_1005Metric,108.75,-87.75,0,top
R6,NC,R_0402_1005Metric,98.5,-92.25,0,top
R7,36.5k,R_0402_1005Metric,94.25,-91.75,90,top
R8,10.2k,R_0603_1608Metric,92.15,-100.25,-90,top
R9,1.91k,R_0603_1608Metric,93,-89.75,180,top
R10,10k,R_0402_1005Metric,115.35,-124.025,0,top
R11,10k,R_0402_1005Metric,115.25,-116,0,top
SW1,TS-1187A-B-A-B,SW_Push_1P1T_NO_CK_KSC6xxJ,120.5,-120,180,top
SW2,TS-1187A-B-A-B,SW_Push_1P1T_NO_CK_KSC6xxJ,110.25,-120,180,top
U1,ADR5040ARTZ-2.048,SOT-23,104,-89,-90,top
U2,LM393,SOIC127P600X175-8N,104.75,-84,0,top
U3,TPS54331D,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias,95.6,-95.75,180,top
U4,LP3993-33B3F,SOT-23,111.725,-96,180,top
U6,USBLC6-2SC6,SOT-23-6,98.25,-110.25,90,top
U7,STM32F411RETx,LQFP-64_10x10mm_P0.5mm,122.75,-99,0,top
U8,BMX055,BMX055,110.25,-112.25,0,top
Y1,32.768k,Crystal_SMD_3215-2Pin_3.2x1.5mm,118.85,-113.1,0,top
Y2,12MHz,Crystal_SMD_5032-4Pin_5.0x3.2mm,118.85,-109,0,top
